1138,Fantlet-7,9
1139,Maid of Lebanon,38
1140,Danaldo,71
1141,Lyn-2,6
1142,Sunrise,3
1143,Falcon IV,44
1144,Potsdam,88
1145,Giselle-6,9
1146,United States-13,4
1147,China-3,1
1148,Ardilla,20
1149,Greece-4,23
1150,Windor,42
1151,Vim III,4
1152,Lasha,80
1153,Hilarius,4
1154,Hakahana,45
1155,Glider,4
1156,Jamaica-1,126
1157,Squid III,5
1158,Singapore-1,66
1159,Mamie-4,9
1160,C.V.A.-14,9
1161,Singy-37,9
1162,C.V.A.-7,9
1163,Mamie-6,9
1164,Singy-7,9
1165,Hamburg,6
1166,Mac Miche,9
1167,Camille,9
1168,Serbia-1,164
1169,Cuxhaven,25
1170,Formosa,4
1171,Danzig,51
1172,Salinero,3
1173,Sjovinge,80
1174,Brandenburg,8
1175,Hungary-3,30
1176,Freia-19,9
1177,Freia-5,9
1178,Luxembourg-1,119
1179,Satchmo,41
1180,Sea Dog-2,88
1181,Mainz,26
1182,Solos Carex,80
1183,Dow Jones,71
1184,Digby,2
